Epoch No	LR            	Loss          	CNN PSNR  	CNN SSIM  
     207	1.00000000e-04	5.87652497e-04	35.81169478	0.97579144
     208	1.00000000e-04	5.87763053e-04	35.84751896	0.97596356
     209	1.00000000e-04	5.87645629e-04	35.86791921	0.97606665
     210	1.00000000e-04	5.87375209e-04	35.82708530	0.97592131
     211	1.00000000e-04	5.86890531e-04	35.86733495	0.97607248
     212	1.00000000e-04	5.87723473e-04	35.84626596	0.97599481
     213	1.00000000e-04	5.87103443e-04	35.81657792	0.97580968
     214	1.00000000e-04	5.87198516e-04	35.85309806	0.97598994
     215	1.00000000e-04	5.86734169e-04	35.80655225	0.97583710
     216	1.00000000e-04	5.86734075e-04	35.85290485	0.97606006
     217	1.00000000e-04	5.86553995e-04	35.82164031	0.97595789
     218	1.00000000e-04	5.86294054e-04	35.85926761	0.97610918
     219	1.00000000e-04	5.86651110e-04	35.84571337	0.97601218
     220	1.00000000e-04	5.85927223e-04	35.85391752	0.97607724
     221	1.00000000e-04	5.85921126e-04	35.83253734	0.97577943
     222	1.00000000e-04	5.86456013e-04	35.84587464	0.97590836
     223	1.00000000e-04	5.85572203e-04	35.85253558	0.97600561
     224	1.00000000e-04	5.86236756e-04	35.83970910	0.97590712
     225	1.00000000e-04	5.85989977e-04	35.83933882	0.97600008
     226	1.00000000e-04	5.85620091e-04	35.85224034	0.97606975
     227	1.00000000e-04	5.85415485e-04	35.82795577	0.97583470
     228	1.00000000e-04	5.85122347e-04	35.84539126	0.97592229
     229	1.00000000e-04	5.85217622e-04	35.86349573	0.97604274
     230	1.00000000e-04	5.85073688e-04	35.85581576	0.97600120
     231	1.00000000e-04	5.85118627e-04	35.86076533	0.97609534
     232	1.00000000e-04	5.85382604e-04	35.87618405	0.97608786
     233	1.00000000e-04	5.85339507e-04	35.84271299	0.97599349
     234	1.00000000e-04	5.84733861e-04	35.82088858	0.97597883
     235	1.00000000e-04	5.84197649e-04	35.86556273	0.97608647
     236	1.00000000e-04	5.84152127e-04	35.86089084	0.97605265
     237	1.00000000e-04	5.84538911e-04	35.84150027	0.97601016
     238	1.00000000e-04	5.84432731e-04	35.85050891	0.97610580
     239	1.00000000e-04	5.83868466e-04	35.84556674	0.97598199
     240	1.00000000e-04	5.83572270e-04	35.84725502	0.97602987
     241	1.00000000e-04	5.84441935e-04	35.86003294	0.97609586
     242	1.00000000e-04	5.83519796e-04	35.85237043	0.97604686
     243	1.00000000e-04	5.83728587e-04	35.82490446	0.97600533
     244	1.00000000e-04	5.83038058e-04	35.84129472	0.97594292
     245	1.00000000e-04	5.83331280e-04	35.85231961	0.97591510
     246	1.00000000e-04	5.83644404e-04	35.87581855	0.97601508
     247	1.00000000e-04	5.83427705e-04	35.87105329	0.97607842
     248	1.00000000e-04	5.83129101e-04	35.85707787	0.97608240
     249	1.00000000e-04	5.82798108e-04	35.86906102	0.97615291
     250	1.00000000e-04	5.82569709e-04	35.86970776	0.97610425
     251	1.00000000e-04	5.83201294e-04	35.86425175	0.97608267
     252	1.00000000e-04	5.82253458e-04	35.85812742	0.97604084
     253	1.00000000e-04	5.82869353e-04	35.86634488	0.97608480
     254	1.00000000e-04	5.82906187e-04	35.85308391	0.97612545
     255	1.00000000e-04	5.82618602e-04	35.80130782	0.97567826
     256	1.00000000e-04	5.81902289e-04	35.87830886	0.97602180
     257	1.00000000e-04	5.81530332e-04	35.84559035	0.97601909
     258	1.00000000e-04	5.81935772e-04	35.86694149	0.97608006
     259	1.00000000e-04	5.82264046e-04	35.86266672	0.97595329
     260	1.00000000e-04	5.82190175e-04	35.85754791	0.97608387
     261	1.00000000e-04	5.81997952e-04	35.83936248	0.97603668
     262	1.00000000e-04	5.82172293e-04	35.85426837	0.97599739
     263	1.00000000e-04	5.81621607e-04	35.87069206	0.97607788
     264	1.00000000e-04	5.81653840e-04	35.83179234	0.97588034
     265	1.00000000e-04	5.81580287e-04	35.86151579	0.97606270
     266	1.00000000e-04	5.81123231e-04	35.81502535	0.97584398
     267	1.00000000e-04	5.80525134e-04	35.86264355	0.97611848
     268	1.00000000e-04	5.80407019e-04	35.84022136	0.97598362
     269	1.00000000e-04	5.80998311e-04	35.85294862	0.97601655
     270	1.00000000e-04	5.81157302e-04	35.87313632	0.97612547
     271	1.00000000e-04	5.80767035e-04	35.83141620	0.97595471
     272	1.00000000e-04	5.80578348e-04	35.85832655	0.97598326
     273	1.00000000e-04	5.80300567e-04	35.85454332	0.97606068
     274	1.00000000e-04	5.80599746e-04	35.86363530	0.97599019
     275	1.00000000e-04	5.80531529e-04	35.87148925	0.97608878
     276	1.00000000e-04	5.80229241e-04	35.88182656	0.97614167
     277	1.00000000e-04	5.80575314e-04	35.87315050	0.97609660
     278	1.00000000e-04	5.80341935e-04	35.84720050	0.97588571
     279	1.00000000e-04	5.79763602e-04	35.89435656	0.97613263
     280	1.00000000e-04	5.80048189e-04	35.84563645	0.97606648
     281	1.00000000e-04	5.79821040e-04	35.88776469	0.97615192
     282	1.00000000e-04	5.79796611e-04	35.85760161	0.97605768
     283	1.00000000e-04	5.78844061e-04	35.86148194	0.97604342
     284	1.00000000e-04	5.79691195e-04	35.81444445	0.97568383
     285	1.00000000e-04	5.79304894e-04	35.88020272	0.97606365
